Date,Close,Volume,Open,High,Low,Year,Month,Quarter,DayOfWeek
2025-04-15,0.6347389438662727,680079736.1791881,0.6347389438662727,0.6347389438662727,0.6347389438662727,2025,4,2,1
2025-04-16,0.6080639244271904,709020814.1750429,0.6080639244271904,0.6080639244271904,0.6080639244271904,2025,4,2,2
2025-04-17,0.6106653469788688,591359664.0730368,0.6106653469788688,0.6106653469788688,0.6106653469788688,2025,4,2,3
2025-04-18,0.6168950161106203,448807472.6198462,0.6168950161106203,0.6168950161106203,0.6168950161106203,2025,4,2,4
2025-04-19,0.6273043794612541,374649872.12397456,0.6273043794612541,0.6273043794612541,0.6273043794612541,2025,4,2,5
2025-04-20,0.6280852975713835,331430508.4467672,0.6280852975713835,0.6280852975713835,0.6280852975713835,2025,4,2,6
2025-04-21,0.6202087731824584,354987761.1249453,0.6202087731824584,0.6202087731824584,0.6202087731824584,2025,4,2,0
2025-04-22,0.6226371412727918,632027422.0139718,0.6226371412727918,0.6226371412727918,0.6226371412727918,2025,4,2,1
2025-04-23,0.6821362911471233,834269402.8814627,0.6821362911471233,0.6821362911471233,0.6821362911471233,2025,4,2,2
2025-04-24,0.6972646472481486,967029539.1144488,0.6972646472481486,0.6972646472481486,0.6972646472481486,2025,4,2,3
2025-04-25,0.7220676397924738,1035019627.1012883,0.7220676397924738,0.7220676397924738,0.7220676397924738,2025,4,2,4
2025-04-26,0.7138859038055668,949069153.9271946,0.7138859038055668,0.7138859038055668,0.7138859038055668,2025,4,2,5
2025-04-27,0.7075935331519487,659341778.5746859,0.7075935331519487,0.7075935331519487,0.7075935331519487,2025,4,2,6
2025-04-28,0.704070171794187,567359217.6728809,0.704070171794187,0.704070171794187,0.704070171794187,2025,4,2,0
2025-04-29,0.7052906740354157,889987578.2822492,0.7052906740354157,0.7052906740354157,0.7052906740354157,2025,4,2,1
2025-04-30,0.6957354792970168,817939169.992459,0.6957354792970168,0.6957354792970168,0.6957354792970168,2025,4,2,2
2025-05-01,0.6820275063998128,592053391.6761067,0.6820275063998128,0.6820275063998128,0.6820275063998128,2025,5,2,3
2025-05-02,0.7048540559063339,586072580.7401356,0.7048540559063339,0.7048540559063339,0.7048540559063339,2025,5,2,4
