Date,Close,Volume,Open,High,Low,Year,Month,Quarter,DayOfWeek
2025-04-12,121.39249540173658,4490645224.532262,121.39249540173658,121.39249540173658,121.39249540173658,2025,4,2,5
2025-04-13,132.15438529607428,4651920909.779958,132.15438529607428,132.15438529607428,132.15438529607428,2025,4,2,6
2025-04-14,128.2347432835372,4291450492.451211,128.2347432835372,128.2347432835372,128.2347432835372,2025,4,2,0
2025-04-15,129.42181202590046,5081658904.236963,129.42181202590046,129.42181202590046,129.42181202590046,2025,4,2,1
2025-04-16,126.3038818388089,3719787998.9004683,126.3038818388089,126.3038818388089,126.3038818388089,2025,4,2,2
2025-04-17,131.4761427933663,5101503918.076568,131.4761427933663,131.4761427933663,131.4761427933663,2025,4,2,3
2025-04-18,134.6151648808524,4018737660.8549724,134.6151648808524,134.6151648808524,134.6151648808524,2025,4,2,4
2025-04-19,133.9760882871713,2480801560.1936097,133.9760882871713,133.9760882871713,133.9760882871713,2025,4,2,5
2025-04-20,139.64248014652355,2834667466.059489,139.64248014652355,139.64248014652355,139.64248014652355,2025,4,2,6
2025-04-21,137.6315829179827,3092429798.991093,137.6315829179827,137.6315829179827,137.6315829179827,2025,4,2,0
2025-04-22,136.3303974884886,4783795038.828256,136.3303974884886,136.3303974884886,136.3303974884886,2025,4,2,1
2025-04-23,148.80397504642707,5472749483.478719,148.80397504642707,148.80397504642707,148.80397504642707,2025,4,2,2
2025-04-24,150.9999108899842,5423865832.324091,150.9999108899842,150.9999108899842,150.9999108899842,2025,4,2,3
2025-04-25,152.3299363576059,4515150018.575274,152.3299363576059,152.3299363576059,152.3299363576059,2025,4,2,4
2025-04-26,150.92008896105446,5066838746.453711,150.92008896105446,150.92008896105446,150.92008896105446,2025,4,2,5
2025-04-27,149.14633083954075,2422656520.389346,149.14633083954075,149.14633083954075,149.14633083954075,2025,4,2,6
2025-04-28,148.2466719511348,2296538427.6507287,148.2466719511348,148.2466719511348,148.2466719511348,2025,4,2,0
2025-04-29,147.99083303267335,4344220983.973297,147.99083303267335,147.99083303267335,147.99083303267335,2025,4,2,1
2025-04-30,146.49305755147196,3236163761.820636,146.49305755147196,146.49305755147196,146.49305755147196,2025,4,2,2
2025-05-01,147.73348327834748,3339352715.472854,147.73348327834748,147.73348327834748,147.73348327834748,2025,5,2,3
2025-05-02,150.76046702861854,3739901458.503681,150.76046702861854,150.76046702861854,150.76046702861854,2025,5,2,4
2025-05-03,147.97213909446802,3193090564.1996865,147.97213909446802,147.97213909446802,147.97213909446802,2025,5,2,5
2025-05-04,146.79754814764868,1777312803.7801025,146.79754814764868,146.79754814764868,146.79754814764868,2025,5,2,6
2025-05-05,143.9823040324787,1839075329.597307,143.9823040324787,143.9823040324787,143.9823040324787,2025,5,2,0
2025-05-06,146.81070557078957,2594552533.4757075,146.81070557078957,146.81070557078957,146.81070557078957,2025,5,2,1
2025-05-07,146.90938773866714,3138354742.93678,146.90938773866714,146.90938773866714,146.90938773866714,2025,5,2,2
2025-05-08,147.20059726659957,4811988060.661323,147.20059726659957,147.20059726659957,147.20059726659957,2025,5,2,3
2025-05-09,163.41627317514832,7618036777.599004,163.41627317514832,163.41627317514832,163.41627317514832,2025,5,2,4
2025-05-10,172.6970765026263,8703440319.327112,172.6970765026263,172.6970765026263,172.6970765026263,2025,5,2,5
2025-05-11,177.3428319704922,4641291512.67865,177.3428319704922,177.3428319704922,177.3428319704922,2025,5,2,6
2025-05-12,172.85779222329435,4733142340.016698,172.85779222329435,172.85779222329435,172.85779222329435,2025,5,2,0
